Z19,Z19,Mean, Outer Edge Length, Surface,Variance,Max_Deviation,Min_Deviation,Span_Deviation,F'i re,fl' re,fk' re,fi' re,F'i li,fl' li,fk' li,fi' li
+01_2D.txt,1.0,1825.505635,9.359098591,0.000121958,2532849157.0,7.42854436,0.187533497,7.241010862,10006.18645,14.46183,10008.61902,10006.18645,10009.57606,16.90916,10011.8873,10009.57606
+02_2D.txt,2.0,1825.508695,9.492655727,0.00012324,2532849146.0,7.428476194,0.187437677,7.241038517,10008.20526,10.91513,10016.74849,10008.20526,10002.39043,14.63389,10003.19444,10002.39043
+03_2D.txt,3.0,1825.490645,9.246111209,0.000120087,2532849212.0,7.428386662,0.187413181,7.240973481,10006.55115,7.20722,10010.45185,10006.55115,10010.3932,5.93224,10014.89714,10010.3932
+04_2D.txt,4.0,1825.501086,9.323172697,0.000122292,2532849174.0,7.428539174,0.187441991,7.241097183,10009.42514,15.64274,10010.78606,10009.42514,10012.26901,18.36138,10012.28013,10012.26901
+05_2D.txt,5.0,1825.502438,9.222660156,0.000120914,2532849169.0,7.42853733,0.187401571,7.241135759,10011.52528,14.8834,10012.51618,10011.52528,10013.42023,15.86627,10013.42043,10013.42023
+06_2D.txt,6.0,1825.515767,9.354997068,0.000123548,2532849120.0,7.428534764,0.187543,7.240991765,10005.20888,15.69261,10005.71068,10005.20888,10006.98214,19.06758,10008.571,10006.98214
+07_2D.txt,7.0,1825.499077,9.367970767,0.000123044,2532849181.0,7.42894127,0.187423708,7.241517562,9996.3211,5.28856,9998.23376,9996.3211,10000.97435,3.81876,10003.81618,10000.97435
+08_2D.txt,8.0,1825.497835,9.283945457,0.000120993,2532849186.0,7.428517262,0.187425677,7.241091585,10008.32945,12.4751,10011.55105,10008.32945,10008.5291,15.22224,10010.19717,10008.5291
+09_2D.txt,9.0,1825.515959,9.298634307,0.000121099,2532849120.0,7.42855233,0.187505881,7.241046449,10002.19574,9.61799,10002.37468,10002.19574,10001.89041,11.43855,10002.65231,10001.89041
+10_2D.txt,10.0,1825.525931,9.482720437,0.000122805,2532849083.0,7.428626147,0.187546104,7.241080042,9988.60636,10.77492,9990.53409,9988.60636,9991.1099,11.94411,9993.80371,9991.1099
+11_2D.txt,11.0,1825.5237,9.251560238,0.000120937,2532849091.0,7.428564006,0.187540779,7.241023227,9999.15894,9.9161,10001.82043,9999.15894,9997.63386,7.33465,9997.75171,9997.63386
+12_2D.txt,12.0,1825.525268,9.417090224,0.000124269,2532849086.0,7.428322172,0.187546093,7.24077608,9991.55763,10.28307,9999.41234,9991.55763,9992.15046,9.46825,9992.66866,9992.15046
+13_2D.txt,13.0,1825.525301,9.433200391,0.000123331,2532849086.0,7.428262491,0.187556182,7.240706309,9991.28445,14.63116,9996.32195,9991.28445,9992.16074,15.89822,9992.95157,9992.16074
+14_2D.txt,14.0,1825.531479,9.349256528,0.00012333,2532849063.0,7.42864799,0.18754928,7.24109871,9988.6875,15.93057,9990.46975,9988.6875,9990.70741,15.98729,9991.70889,9990.70741
+15_2D.txt,15.0,1825.533597,9.384870386,0.000124144,2532849055.0,7.428260664,0.18752169,7.240738974,9984.28984,6.90358,9986.2326,9984.28984,9986.74426,8.23391,9986.73114,9986.74426
+16_2D.txt,16.0,1825.514814,9.308338612,0.000123272,2532849124.0,7.429016248,0.187474085,7.241542163,9991.06066,10.47148,9991.66636,9991.06066,9990.72366,7.7449,9991.48293,9990.72366
+17_2D.txt,17.0,1825.527713,9.364127043,0.000124569,2532849077.0,7.428426184,0.187546764,7.24087942,10072.64127,14.05628,10080.88161,10072.64127,9996.18,15.6119,9996.15917,9996.18
+18_2D.txt,18.0,1825.528439,9.296736977,0.000122905,2532849074.0,7.4286432,0.187558862,7.241084338,9991.55137,12.44389,9993.18299,9991.55137,9996.5294,16.14515,9997.67203,9996.5294
+19_2D.txt,19.0,1825.507356,9.430001266,0.000122262,2532849151.0,7.428445104,0.187417584,7.24102752,9999.56686,7.18249,10000.45251,9999.56686,9998.10285,7.63001,9999.02346,9998.10285
+20_2D.txt,20.0,1825.516152,9.449617503,0.000121023,2532849119.0,7.428559782,0.187541469,7.241018313,10008.3238,17.99551,10008.47431,10008.3238,10007.97549,19.50996,10007.95834,10007.97549
+21_2D.txt,21.0,1825.520455,9.339213944,0.000122566,2532849103.0,7.428623464,0.187545592,7.241077873,10018.3029,16.53564,10018.5426,10018.3029,10014.29545,17.75995,10014.29552,10014.29545
+22_2D.txt,22.0,1825.524786,9.385932034,0.000123393,2532849087.0,7.428552494,0.187448051,7.241104443,9998.41489,17.45322,9999.16244,9998.41489,10002.23464,20.44688,10002.25757,10002.23464
+23_2D.txt,23.0,1825.518536,9.261434522,0.000122629,2532849110.0,7.428573901,0.187522006,7.241051895,9992.34235,6.58121,9996.72637,9992.34235,10010.08921,8.54422,10010.57341,10010.08921
+24_2D.txt,24.0,1825.516405,9.312388733,0.000121776,2532849118.0,7.428526659,0.187521248,7.241005411,9996.16535,11.61949,9998.03662,9996.16535,9997.71761,12.16417,9998.43359,9997.71761
+25_2D.txt,25.0,1825.508558,9.500739736,0.000122531,2532849147.0,7.428538826,0.187437278,7.241101548,10002.03414,14.27471,10002.20955,10002.03414,10003.43619,15.97206,10003.40741,10003.43619
+26_2D.txt,26.0,1825.485264,9.407210114,0.000123353,2532849232.0,7.428980553,0.187457898,7.241522656,10011.08569,16.60466,10015.84967,10011.08569,10015.22014,19.05932,10017.48568,10015.22014
+27_2D.txt,27.0,1825.498061,9.550890779,0.000127382,2532849185.0,7.428959244,0.187432252,7.241526992,10007.58984,10.70881,10007.57722,10007.58984,10002.21136,12.83125,10009.88557,10002.21136
+28_2D.txt,28.0,1825.515731,9.307446556,0.000122236,2532849120.0,7.429038976,0.187467723,7.241571253,9999.17547,16.54644,10000.14276,9999.17547,10005.83331,17.6175,10006.88366,10005.83331
+29_2D.txt,29.0,1825.51006,9.244901892,0.000122271,2532849141.0,7.428810736,0.187426337,7.2413844,9992.94278,10.42788,9993.90788,9992.94278,9992.75795,8.39331,9993.05202,9992.75795
+30_2D.txt,30.0,1825.524945,9.383583198,0.000121908,2532849087.0,7.428579675,0.187435361,7.241144314,9998.3739,18.15892,9999.00216,9998.3739,9998.9547,20.72706,10006.84587,9998.9547
