;Mean;Variance;Max_Deviation;Min_Deviation;Span_Deviation;fl' re;fk' re;fi' re;fl' li;fk' li;fi' li
Mean;;-1,000;-0,023;0,212;-0,086;0,151;-0,531;-0,549;0,108;-0,737;-0,734
Variance;;;0,023;-0,212;0,086;-0,151;0,531;0,549;-0,108;0,737;0,734
Max_Deviation;;;;-0,099;0,952;-0,010;-0,114;-0,101;-0,045;-0,018;-0,023
Min_Deviation;;;;;-0,397;0,071;0,032;0,036;0,059;-0,014;0,014
Span_Deviation;;;;;;-0,031;-0,115;-0,105;-0,060;-0,012;-0,026
fl' re;;;;;;;0,121;0,146;0,878;0,123;0,140
fk' re;;;;;;;;0,992;0,155;0,647;0,662
fi' re;;;;;;;;;0,182;0,677;0,693
fl' li;;;;;;;;;;0,184;0,203
fk' li;;;;;;;;;;;
fi' li;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
