Z13,Wälzfehler VW,Wälzfehler RW,Wälzsprung VW,Wälzsprung RW
9,0.0457,0.0553,0.0241,0.0328
12,0.0273,0.0402,0.0262,0.0275
18,0.0297,0.0405,0.0271,0.0252
19,0.0299,0.0416,0.0261,0.0281
21,0.0257,0.0425,0.0244,0.0254
21,0.0271,0.0314,0.0267,0.0267
25,0.029,0.0403,0.0276,0.0265
25,0.0306,0.034,0.0285,0.0259
29,0.0277,0.0398,0.0262,0.0261
40,0.0525,0.0469,0.0298,0.0268
40,0.0307,0.0384,0.0277,0.0274
42,0.0471,0.0465,0.0267,0.0295
46,0.0495,0.0392,0.0263,0.024
48,0.0334,0.0362,0.0278,0.0263
49,0.0279,0.0324,0.0266,0.027
50,0.05,0.0466,0.0294,0.0304
50,0.0281,0.0331,0.0272,0.0258
57,0.0423,0.0511,0.0226,0.0316
62,0.0276,0.0393,0.0218,0.0293
62,0.0474,0.0493,0.0232,0.0332
69,0.0257,0.0289,0.0225,0.0223
71,0.0238,0.0393,0.0216,0.0262
74,0.0264,0.0335,0.0222,0.0256
78,0.045,0.0491,0.0212,0.0328
80,0.0222,0.0432,0.0189,0.0306
83,0.0222,0.0288,0.0211,0.0219
85,0.0331,0.0356,0.0284,0.0275
88,0.0243,0.037,0.022,0.0237
88,0.0237,0.0323,0.0216,0.0231
88,0.025,0.0347,0.0229,0.0247
88,0.0264,0.0407,0.0223,0.0284
88,0.0261,0.0381,0.0243,0.0285
88,0.0223,0.044,0.0193,0.0304
88,0.0209,0.0413,0.0189,0.0288
88,0.0211,0.0446,0.0198,0.0303
88,0.0246,0.0401,0.0227,0.0262
88,0.026,0.0399,0.0234,0.0275
89,0.0242,0.0436,0.0185,0.0298
96,0.0334,0.0359,0.0232,0.0248
98,0.0229,0.0382,0.0221,0.0252
100,0.023,0.052,0.0202,0.0269
114,0.0476,0.0448,0.0243,0.0251
114,0.0446,0.0491,0.0238,0.0248
120,0.0258,0.0354,0.0216,0.027
121,0.0291,0.0487,0.0214,0.0278
122,0.0233,0.0474,0.0194,0.0186
126,0.0229,0.0324,0.0198,0.0258
126,0.0437,0.046,0.0235,0.026
129,0.0259,0.0314,0.0215,0.0232
131,0.0272,0.0474,0.0265,0.0237
132,0.0403,0.0485,0.0233,0.0309
134,0.0221,0.0316,0.0188,0.0222
142,0.025,0.0473,0.0205,0.0298
143,0.0269,0.0332,0.0209,0.0237
146,0.0288,0.0371,0.028,0.0279
160,0.0567,0.0515,0.0332,0.0293
163,0.0367,0.0321,0.0312,0.0243
163,0.0534,0.0474,0.0336,0.0296
167,0.0441,0.0455,0.0279,0.0312
175,0.0313,0.0349,0.0306,0.0263
177,0.0562,0.0474,0.0327,0.0289
178,0.0318,0.0409,0.0293,0.0225
180,0.0578,0.0487,0.0339,0.0273
183,0.0309,0.0437,0.0256,0.0303
186,0.032,0.0375,0.0297,0.0282
192,0.03,0.0366,0.0251,0.0291
193,0.0328,0.0417,0.0307,0.027
198,0.0303,0.0367,0.0267,0.0295
201,0.0564,0.0499,0.0325,0.0288
