Z13;Z19;Fi_liZ13;Fi_liZ19;Fi_reZ13;Fi_reZ19;Zahnrad_ID;Wälzfehler VW;Wälzfehler RW;Wälzsprung VW;Wälzsprung RW
9;68;18,248691;10024,66946;8,789258;10021,81053;968;0,0457;0,0553;0,0241;0,0328
12;34;18,338413;10001,5353;8,868032;10003,07259;1234;0,0273;0,0402;0,0262;0,0275
18;10;20,069959;9991,1099;8,91302;9988,60636;1810;0,0297;0,0405;0,0271;0,0252
19;26;19,356759;10015,22014;9,818806;10011,08569;1926;0,0299;0,0416;0,0261;0,0281
21;42;19,746953;10013,97131;9,732768;10011,94416;2142;0,0257;0,0425;0,0244;0,0254
21;85;19,746953;10013,97131;9,732768;10011,94416;2185;0,0271;0,0314;0,0267;0,0267
25;82;20,51247;10022,77634;9,670212;10023,83914;2582;0,029;0,0403;0,0276;0,0265
25;84;20,51247;10013,38882;9,670212;10011,3398;2584;0,0306;0,034;0,0285;0,0259
29;78;18,348176;10013,38882;9,379466;10011,3398;2978;0,0277;0,0398;0,0262;0,0261
40;17;21,071454;10021,97821;8,908451;10024,31833;4017;0,0525;0,0469;0,0298;0,0268
40;98;21,071454;10021,97821;8,908451;10024,31833;4098;0,0307;0,0384;0,0277;0,0274
42;58;20,02984;10026,38747;7,906994;10018,36146;4258;0,0471;0,0465;0,0267;0,0295
46;1;18,643649;9996,18;8,639161;10072,64127;461;0,0495;0,0392;0,0263;0,024
48;94;19,414907;9996,18;9,83058;10072,64127;4894;0,0334;0,0362;0,0278;0,0263
49;49;18,788898;9996,18;8,971879;10072,64127;4949;0,0279;0,0324;0,0266;0,027
50;28;19,520705;9996,18;9,663911;10072,64127;5028;0,05;0,0466;0,0294;0,0304
50;79;19,520705;10005,60291;9,663911;10006,03819;5079;0,0281;0,0331;0,0272;0,0258
57;51;13,450515;10022,85734;9,930559;10022,83227;5751;0,0423;0,0511;0,0226;0,0316
62;54;17,096517;10009,57606;11,050799;10006,18645;6254;0,0276;0,0393;0,0218;0,0293
62;75;17,096517;10009,57606;11,050799;10006,18645;6275;0,0474;0,0493;0,0232;0,0332
69;8;14,918743;10008,69368;7,876521;10009,68007;698;0,0257;0,0289;0,0225;0,0223
71;42;17,848912;9998,72274;11,112798;9997,86419;7142;0,0238;0,0393;0,0216;0,0262
74;17;17,013648;10005,83331;11,147438;9999,17547;7417;0,0264;0,0335;0,0222;0,0256
78;73;33,252517;10011,31877;12,403493;10016,2263;7873;0,045;0,0491;0,0212;0,0328
80;56;15,218429;10011,31877;10,613407;10016,2263;8056;0,0222;0,0432;0,0189;0,0306
83;41;14,158121;10011,31877;10,920141;10016,2263;8341;0,0222;0,0288;0,0211;0,0219
85;29;14,709796;10000,15495;10,799155;10013,64498;8529;0,0331;0,0356;0,0284;0,0275
88;2;14,504398;10004,4631;12,135325;10003,21637;882;0,0243;0,037;0,022;0,0237
88;8;14,504398;10008,16659;12,135325;10005,71314;888;0,0237;0,0323;0,0216;0,0231
88;23;14,504398;10008,5291;12,135325;10008,32945;8823;0,025;0,0347;0,0229;0,0247
88;27;14,504398;10008,5291;12,135325;10008,32945;8827;0,0264;0,0407;0,0223;0,0284
88;29;14,504398;10009,94881;12,135325;10007,19278;8829;0,0261;0,0381;0,0243;0,0285
